tweet_id	text	label
295541465013182465	I just though about the night I went clubbing with @mikal1988 and I cried	not_relevant
295485717465935873	Looks like its going to be another long night courtesy #djoko and #murray #AustralianOpen	not_relevant
297292225811972097	@LaniiBanani hahahaha I just told him id have to think about it :p he was like what I would do to u if u were in my arms + more haha	not_relevant
297199686392094720	Off to meeting.... with so called... Baaps of mineral processing!!	not_relevant
295527618449666049	Doubt I'll be getting much sleep tonight	not_relevant
296193774575554560	@MKR_AU #MKR OMG only been watching the show for 20mins and already I want Dancer Boy and the curry munchers to leave!!!	not_relevant
296469729781104640	@petersmileyface you can ask my balls or look at them they'll tell you	not_relevant
296002033398448131	@UberFacts: Your mind spends about 70% of its time replaying memories and creating scenarios of perfect moments........ #mylife	not_relevant
297317729545908225	Sorry i actually do have a life.. I can't make a living out of fangirling over 5 poo poo heads that won't notice me.. call me a fake fan **	not_relevant
297353013167808512	@DavidMorton359 but you have to privatise the whole thing, and provide competition on the high street. Then it will work. Not until.	not_relevant
296544765065953280	@xo_aman that must've been an interesting google search	not_relevant
296212719139442688	@teacuptempest that phrase much classier than Roos loose in the top paddock Nice.	not_relevant
295478715842969600	@Keira_McIntosh you need to post more whiskey pics.	not_relevant
297306394095403009	@andrew_urry what they have done as an organization is great given their resources &amp; location..	not_relevant
296474689113579520	@jhutch1992 This was tweeted in the nick of time!  My partner and my ever-faithful dog, thank you...The misery you've a averted...:)	not_relevant
296995287447261184	@KourtneyKardash Get on Pintrest!!! It's all about home inspirations!! You'll love it!	not_relevant
296194311576489984	#mkr. Boring or what.....so pre planned with written scipts its not funny	not_relevant
296456134548676610	@HeyBrie_ coz its cheaper to buy and glasses a full of ice	not_relevant
296204450568208385	@markseesyou its just made me feel really thirsty	not_relevant
296548224355946496	Breaking all the boys hearts :/ (@ Noodle and Donburi Japanese Bento) http://t.co/z8OeuZKw	not_relevant
297135907574800384	@inflightFeed no dramas! Thanks again though.	not_relevant
295470307836301314	RT @7NewsBrisbane: Foam from rough waves at Alexandra Headland resembles snow on the Sunshine Coast #staysafe #bigwet #queensland #flood ...	not_relevant
295707178440998912	@howlingeverett @everworld2662 that should be 'the right typeface'. Sorry, I'm pre-stimulant.	not_relevant
297228200730316800	@BreeOlson do porn actors actually like anal sex?	not_relevant
297334252511580160	@Anthony_Mundine u do know u list don't you	not_relevant
295459962983968768	@Daltoncatering I'm appearing here every night this week with encores on demand. It's called a society!	not_relevant
296875467062001667	So devastated to hear my good friend and ex colleague Ben Roper has passed away - thank you all for RT the tweets to try find him. RIP BEN	not_relevant
296737994520551428	@IMAO_ @adamsbaldwin love both as well...	not_relevant
296461379366428672	@tonedeaff energex - its been 100hrs and I still dont have power.	not_relevant
296155224215805952	I'm at Workwear Discounts (Toowoomba City, Queensland) http://t.co/HQHvBWNU	not_relevant
297479354538156032	@mattyjyoung no ... No clue at all!	not_relevant
295352236555501568	We have a visitor! #hiding #evilrain http://t.co/ecmG0e7t	not_relevant
297461092546920448	fuck work and these 8am starts 7 days a week	not_relevant
296140389402955777	@MarcePCsolution hey #ThankYou for following  **smile** gimme shout out.	not_relevant
297465926213828609	Meeting random people is my favorite thing in the world	not_relevant
295373209002446848	@warne888 @ronanofficial We're currently getting hammered by ex t/c oswald!!no power,ltd phone, rain &amp; wind would blow dog off a chain!!	not_relevant
296866306110656512	Perrie doesnt know i exist :'(	not_relevant
296850658064224256	Planning on running home as soon as i gt iff da bus to watch #willandtrenttwitcam #WillAndTrentShirtlessTwitcam  #willandtrenttwitcam	not_relevant
295792807686336512	@tgirishkumar when you're 3 games from the end and United are close and your best player back passes to drogba you know it's deliberate	not_relevant
296581730612162560	My toe is in so much pain arghhhh	not_relevant
295345458312781826	@StalkingReedus @jisaneko @wwwbigbaldhead If I was in the airport I would pretend I didn't know him and then help him with his stuff. :)	not_relevant
296569863172919297	RT@FactBoook: Many people in China get tattoos of English words &amp; sentences that mean nothing. Haha too funny!	not_relevant
296910553664876544	@emmaparade YAYAYAAYAYA! Can we please do a coffee date?!	not_relevant
296945717912678400	The night begins... @ed_violet of @slhc_official getting acoustic at Snitch... I'm on next, @ X &amp; Y Bar http://t.co/rlxijATP	not_relevant
295701846046150656	@Polka_Dot_Peony they should coz of generators... It'd probably be madness there tho if the suburb doesn't have power	not_relevant
295328519528009729	@LiamKHFC he does play for Brighton...	not_relevant
297221442037235712	@JoshuaToy_20 what I don't understand is how you can get given out by listening to audio?	not_relevant
295678563691147264	@Real_Liam_Payne thanks for being the best band everrrrrr	not_relevant
296905640838828032	Lol @ Jayde flirting crazily with a gay guy. (@ Ginga Sushi portside) http://t.co/DDCFOh7J	not_relevant
295452598780190720	If this weather system came through on December 21st, would we have panicked more? #bigwet #bnestorm #bnestorm #apocalypse #mayan #endworld	not_relevant
296238663484989440	@monicki3 you have a very nice house my deer ;)	not_relevant
295688882899525635	@Telstra any ETA on mobile coverage being fixed in North Ward QLD 4810 ?	not_relevant
295409325734760448	@kelsealaw haha any excuse :p u might aswell just stay awake and carry on drinking  #smashedstripper	not_relevant
295510780164591616	@TiffySea @tumi_rose didnt u say u'r halve way thru' writing a book?	not_relevant
297213512063799296	@Anthony_Mundine power punches? where you getting the punch stats?	not_relevant
296752987668365313	@Dramagirl In fairness, Twba is 1 of 20 test sites in the country, its a 9 yr roll out nationwide &amp; you'll see it well before then :)	not_relevant
295548753966952448	@iFoundKidrauhl_ unsure I have followed like 200 people in about an hour and it hasn't kicked in yet	not_relevant
296455117811621888	O level candidates who seem to keep on failing to register... See this. :) http://t.co/7rT8IcBx	not_relevant
296720825850163202	@paulbellis it always is funny. It's to the point where I don't ever see the term spuds meaning potato. Unless I'm near a kitchen.	not_relevant
296919714263863296	@UStupidBitch please let us know what he needs.	not_relevant
